codigo,quesito,tipo,unidade
V401512,6 a 10 trabalhadores não remunerados,06 a 10,06 a 10 trabalhadores não remunerados
V4016,"Na semana de ... a ... (semana de referência), quantos empregados trabalhavam nesse negócio/empresa que ... tinha ?",1,1 a 5 empregados
V40161,1 a 5 empregados,1 a 5,1 a 5 empregados
V40162,6 a 10 empregados,06 a 10,06 a 10 empregados
V40163,11 a 50 empregados,11 a 50,11 a 50 empregados
V4017,"Na semana de ... a ... (semana de  referência), ... tinha pelo menos um sócio que trabalhava nesse negócio/empresa ?",1,Sim
V40171,Quantos?,1,1 a 5 sócios
V401711,1 a 5 sócios,1 a 5,1 a 5 sócios
V4018,"Na semana de ... a ... (semana de referência), contando com ... , quantas pessoas trabalhavam nesse negócio/empresa ?",1,1 a 5 pessoas
V40181,1 a 5 pessoas,1 a 5,1 a 5 pessoas
V40182,6 a 10 pessoas,06 a 10,06 a 10 pessoas
V40183,11 a 50 pessoas,11 a 50,11 a 50 pessoas
V4019,Esse negócio/empresa era registrado no Cadastro Nacional da Pessoa Jurídica - CNPJ?,1,Sim
V4020,Em que tipo de local funcionava esse negócio/empresa ?,1,"Em loja, escritório, galpão, etc."
V4021,... exercia normalmente o trabalho em estabelecimento desse negócio/empresa ?,1,Sim
V4022,Então onde ... exercia normalmente esse trabalho ?,1,Em estabelecimento de outro négocio/empresa
V4024,No período de ... a ... (período de referência de 30 dias) ... prestava serviço doméstico em mais de um domicílio ?,1,Sim
V4025,"Nesse trabalho, ... era contratado(a) como empregado temporário ?",1,Sim
V4026,"Na semana de ... a ... (semana de referência), ... era contratado(a) somente por pessoa responsável pelo negócio/empresa em que trabalhava ?",1,Sim
V4027,"Na semana de ... a ... (semana de referência) era contratado(a) somente por intermediário (empresa empreiteira, empreiteiro, ""gato"", etc.) ?",1,Sim
V4028,"Nesse trabalho, ... era servidor público estatutário (federal, estadual ou municipal) ?",1,Sim
V4029,"Nesse trabalho, ... tinha carteira de trabalho assinada ?",1,Sim
V4032,Era contribuinte de instituto de previdência por esse trabalho ?,1,Sim
V4033,Qual era o rendimento bruto mensal que ... recebia/fazia  normalmente nesse trabalho? (variável auxiliar),1,Indica se o quesito foi respondido
V40331,Recebia/fazia normalmente nesse trabalho rendimento/retirada em dinheiro?,1,Em dinheiro
V403311,Número da faixa do rendimento/retirada em dinheiro,1,"1 a [0,5SM]"
V403312,Qual era o rendimento bruto/retirada mensal que ... recebia/fazia normalmente nesse trabalho ? (valor em dinheiro),valor em reais,R$
V40332,Recebia/fazia normalmente nesse trabalho rendimento/retirada em produtos e mercadorias ?,2,Em produtos ou mercadorias
V403321,Número da faixa do rendimento/retirada em produtos e mercadorias,1,"1 a [0,5SM]"
V403322,Qual era o rendimento bruto/retirada mensal que ... recebia/fazia normalmente nesse trabalho ? (valor estimado dos produtos ou mercadorias),valor em reais,R$
V40333,Recebia/fazia normalmente nesse trabalho rendimento/retirada somente em benefícios ?,3,Em benefícios
V403331,Tipo de rendimento/retirada  em benefícios que recebia/fazia nesse trabalho,1,"Pessoa recebendo somente em beneficios, exceto aprendizado"
V4034,"Qual foi o rendimento bruto que ... recebeu/fez  nesse trabalho, no mês de referência? (variável auxiliar)",1,Indica se o quesito foi respondido
V40341,Recebeu/fez nesse trabalho rendimento/retirada em dinheiro no mês de referência,1,Em dinheiro
V403411,Número da faixa do rendimento/retirada em dinheiro,0,0
V403412,"Qual foi o rendimento bruto/retirada que ... recebeu/fez nesse trabalho, no mês de referência ? (valor em dinheiro)",valor em reais,R$
V40342,"Recebeu/fez nesse trabalho no mês de referencia, rendimento/retirada em produtos e mercadorias",2,Em produtos ou mercadorias
V403421,Número da faixa do rendimento/retirada em produtos e mercadorias,0,0
V403422,"Qual foi o rendimento bruto/retirada que ... recebeu/fez nesse trabalho, no mês de referência ? (valor estimado dos produtos ou mercadorias)",valor em reais,R$
V4039,"Quantas horas ... trabalhava normalmente, por semana, nesse trabalho principal?",001 a 120,Horas
V4039C,Quantas horas ... trabalhou efetivamente na semana de referência nesse trabalho principal?,000 a 120,Horas
V4040,Até o dia ... (último dia da semana de referência) fazia quanto tempo que ... estava nesse trabalho ?,1,Menos de 1 mês
V40401,Fazia quanto tempo que estava nesse trabalho (de 1 mês a menos de 1 ano),01 a 11,01 mês a 11 meses
V40402,Fazia quanto tempo que estava nesse trabalho (de 1 ano a menos de 2 anos),00 a 11,00 a 11 meses
V40403,Fazia quanto tempo estava nesse trabalho (2 anos ou mais),02 a 98,2 anos ou mais
V4041,Código da ocupação (cargo ou função),código,"Ver ""Classificação nacional de ocupações para pesquisas domiciliares (COD) 2010"""
V4043,"Nesse trabalho secundário, ... era",1,Trabalhador doméstico
V40431,Trabalhador familiar não remunerado,1,Em ajuda a conta própria ou empregador
